N,P,K,pH,recommended_N_kg_per_acre,recommended_P2O5_kg_per_acre,recommended_K2O_kg_per_acre,urea,ssp,mop
113.0,17.0,149.0,7.32,46.77,24.35,22.54,101.68,152.16,37.56
113.0,17.0,174.0,7.04,45.54,23.82,20.81,99.01,148.88,34.68
113.0,10.0,166.0,6.35,46.63,28.67,21.11,101.37,179.22,35.19
79.0,6.0,18.0,5.7,53.47,28.01,30.12,116.23,175.05,50.19
103.0,15.0,196.0,7.26,49.24,25.12,18.81,107.04,157.01,31.35
103.0,15.0,169.0,6.43,50.29,24.32,21.29,109.33,152.02,35.48
103.0,13.0,159.0,5.98,49.2,25.6,20.9,106.97,160.02,34.84
69.0,8.0,199.0,8.08,55.38,28.23,19.48,120.38,176.47,32.46
59.0,8.0,110.0,4.68,58.15,26.75,24.99,126.42,167.22,41.66
65.0,7.0,175.0,7.85,57.84,28.74,20.61,125.74,179.64,34.34
111.0,21.0,121.0,7.98,47.02,23.44,23.65,102.22,146.51,39.42
51.0,9.0,169.0,8.3,59.07,27.43,21.06,128.42,171.42,35.1
85.0,21.0,139.0,7.54,53.45,22.46,21.23,116.19,140.35,35.38
94.0,10.0,19.0,7.83,51.02,27.86,30.01,110.92,174.16,50.02
113.0,13.0,193.0,7.01,47.92,25.8,19.36,104.17,161.26,32.27
69.0,17.0,194.0,7.95,56.19,23.75,19.33,122.15,148.45,32.22
65.0,10.0,165.0,8.12,57.56,25.88,21.45,125.13,161.78,35.76
73.0,11.0,154.0,7.96,54.57,27.18,21.72,118.63,169.9,36.2
69.0,10.0,164.0,7.88,56.19,27.18,20.59,122.15,169.89,34.32
80.0,8.0,19.0,5.37,53.83,27.54,29.79,117.02,172.14,49.65
107.0,19.0,194.0,7.44,47.63,23.28,19.39,103.54,145.47,32.32
87.0,14.0,110.0,7.74,51.35,25.1,24.46,111.63,156.87,40.76
68.0,17.0,103.0,7.68,56.95,23.78,24.9,123.8,148.64,41.5
121.0,25.0,120.0,7.5,45.52,20.86,24.32,98.95,130.4,40.53
51.0,9.0,194.0,8.12,58.98,26.9,18.82,128.22,168.11,31.36
59.0,8.0,160.0,8.21,58.12,28.78,21.49,126.35,179.86,35.81
54.0,7.0,166.0,7.35,60.1,27.76,21.68,130.66,173.51,36.14
74.0,9.0,198.0,7.66,53.38,27.3,18.25,116.03,170.64,30.42
113.0,21.0,155.0,7.01,46.2,23.45,21.79,100.44,146.59,36.32
64.0,8.0,180.0,6.06,56.46,28.83,19.91,122.74,180.17,33.18
113.0,9.0,146.0,5.98,48.57,27.76,22.05,105.58,173.49,36.76
96.0,16.0,103.0,,51.03,23.99,24.37,110.93,149.91,40.61
75.0,13.0,194.0,7.7,55.61,25.58,19.28,120.9,159.89,32.13
96.0,16.0,103.0,,49.89,24.59,25.74,108.45,153.71,42.9
54.0,7.0,125.0,8.02,58.3,28.62,22.87,126.75,178.89,38.11
115.0,23.0,150.0,7.01,47.36,21.35,21.42,102.95,133.41,35.69
103.0,21.0,103.0,7.82,49.45,22.28,24.17,107.49,139.26,40.28
66.0,10.0,127.0,7.87,57.24,27.12,24.24,124.43,169.51,40.41
102.0,13.0,166.0,6.8,49.45,25.03,20.81,107.5,156.47,34.68
95.0,6.0,19.0,4.78,51.22,28.74,29.85,111.35,179.63,49.75
69.0,9.0,161.0,8.12,56.33,28.25,21.14,122.45,176.55,35.23
104.0,21.0,175.0,6.92,49.82,21.48,20.03,108.31,134.24,33.38
97.0,9.0,49.0,6.17,51.25,27.59,27.94,111.4,172.41,46.57
99.0,8.0,166.0,5.92,48.9,27.66,22.27,106.31,172.86,37.12
105.0,17.0,188.0,7.77,47.2,24.17,20.42,102.61,151.04,34.03
85.0,13.0,149.0,6.7,53.8,25.67,21.63,116.96,160.42,36.06
62.0,9.0,75.0,7.96,58.55,28.59,26.82,127.28,178.67,44.71
108.0,23.0,170.0,6.65,47.58,21.7,20.38,103.44,135.65,33.97
90.0,27.0,110.0,6.36,50.51,18.81,23.51,109.81,117.58,39.19
103.0,5.0,19.0,5.62,49.48,29.9,30.37,107.56,186.89,50.62
69.0,7.0,189.0,7.71,56.94,28.14,20.24,123.79,175.85,33.73
102.0,10.0,60.0,7.69,51.04,26.9,27.92,110.95,168.15,46.54
69.0,7.0,189.0,7.71,56.61,28.79,19.43,123.07,179.93,32.38
74.0,7.0,184.0,,54.9,28.3,19.88,119.35,176.91,33.13
99.0,9.0,157.0,5.93,49.49,28.24,21.95,107.58,176.47,36.59
60.0,14.0,19.0,7.65,58.01,24.99,30.06,126.11,156.16,50.09
103.0,15.0,144.0,7.74,49.16,24.63,22.16,106.87,153.93,36.94
124.0,8.0,143.0,5.61,44.39,27.76,21.61,96.5,173.48,36.02
54.0,9.0,115.0,8.35,60.84,27.36,24.16,132.26,171.0,40.26
75.0,25.0,198.0,7.03,56.43,21.16,19.66,122.67,132.25,32.77
103.0,20.0,170.0,7.54,50.31,23.13,20.2,109.37,144.55,33.67
55.0,11.0,169.0,6.99,58.26,27.83,21.18,126.66,173.91,35.3
126.0,17.0,111.0,6.48,45.48,25.46,24.51,98.88,159.13,40.84
115.0,21.0,199.0,7.29,47.51,21.68,19.44,103.29,135.51,32.39
63.0,9.0,159.0,8.14,57.75,27.74,21.9,125.55,173.39,36.49
71.0,9.0,146.0,8.12,56.8,26.99,21.89,123.48,168.71,36.49
71.0,14.0,19.0,7.52,56.31,24.98,29.05,122.41,156.15,48.42
82.0,24.0,116.0,7.39,54.19,20.57,23.77,117.81,128.57,39.62
125.0,59.0,49.0,6.78,45.51,15.0,28.5,98.93,93.75,47.51
76.0,10.0,103.0,7.96,55.07,26.62,24.55,119.72,166.37,40.91
99.0,15.0,190.0,7.38,48.77,24.91,19.25,106.03,155.71,32.09
110.0,10.0,155.0,7.96,48.07,26.52,20.79,104.49,165.75,34.65
63.0,9.0,211.0,7.85,56.96,28.21,19.22,123.82,176.28,32.03
53.0,13.0,95.0,7.97,58.38,25.35,25.71,126.9,158.43,42.85
95.0,23.0,110.0,7.41,52.35,23.09,24.78,113.79,144.29,41.31
110.0,17.0,103.0,6.91,49.38,23.83,25.3,107.35,148.93,42.17
84.0,9.0,185.0,7.34,54.29,27.74,20.19,118.02,173.4,33.65
71.0,9.0,146.0,8.12,56.0,26.92,22.12,121.75,168.27,36.86
113.0,13.0,169.0,6.44,48.48,26.92,20.78,105.39,168.27,34.63
105.0,17.0,110.0,6.75,49.01,24.77,24.19,106.54,154.82,40.31
99.0,15.0,125.0,7.34,50.36,25.18,24.82,109.48,157.36,41.36
106.0,21.0,179.0,6.93,47.93,21.49,20.54,104.19,134.32,34.23
64.0,15.0,110.0,7.83,57.52,25.13,24.17,125.04,157.04,40.28
104.0,23.0,106.0,6.98,49.25,20.73,24.87,107.06,129.54,41.45
94.0,25.0,194.0,6.57,50.16,21.38,18.85,109.04,133.61,31.42
104.0,21.0,175.0,6.92,49.16,22.79,21.25,106.87,142.41,35.42
89.0,14.0,19.0,7.45,52.14,25.51,29.53,113.34,159.42,49.22
109.0,18.0,103.0,7.63,49.64,22.19,25.07,107.91,138.68,41.78
74.0,9.0,18.0,8.01,55.92,27.11,30.45,121.56,169.44,50.75
103.0,20.0,153.0,6.93,49.41,23.16,22.01,107.41,144.77,36.69
85.0,21.0,184.0,7.27,53.2,23.03,20.01,115.65,143.92,33.35
54.0,8.0,154.0,8.03,59.24,28.82,21.77,128.77,180.1,36.28
95.0,17.0,181.0,7.54,50.84,23.14,20.11,110.52,144.65,33.52
113.0,14.0,190.0,6.29,46.53,25.63,19.31,101.16,160.19,32.19
94.0,9.0,198.0,7.76,51.08,28.31,18.9,111.04,176.93,31.49
118.0,22.0,181.0,7.48,45.8,20.85,20.88,99.57,130.34,34.8
91.0,12.0,154.0,7.7,50.8,26.35,21.71,110.43,164.66,36.18
55.0,10.0,155.0,8.04,59.41,27.41,21.31,129.15,171.34,35.51
89.0,14.0,19.0,7.45,52.51,25.27,29.6,114.16,157.93,49.34
110.0,11.0,102.0,6.63,46.57,25.69,25.43,101.24,160.55,42.38
74.0,10.0,180.0,7.8,55.1,27.05,20.54,119.79,169.09,34.23
115.0,20.0,113.0,7.29,47.8,22.55,24.5,103.91,140.96,40.83
70.0,10.0,190.0,7.32,56.85,27.16,19.47,123.58,169.76,32.45
99.0,12.0,149.0,8.12,51.02,26.01,22.35,110.91,162.57,37.24
54.0,8.0,154.0,8.37,59.23,27.88,21.44,128.76,174.28,35.73
87.0,17.0,136.0,6.28,51.92,24.08,22.71,112.88,150.48,37.85
74.0,7.0,184.0,,54.33,28.87,20.44,118.12,180.41,34.07
104.0,25.0,133.0,7.32,49.48,20.32,23.46,107.56,126.98,39.1
109.0,17.0,19.0,7.61,48.5,23.85,29.37,105.44,149.09,48.95
69.0,10.0,194.0,7.66,57.23,27.31,18.93,124.41,170.66,31.55
104.0,21.0,175.0,6.92,50.08,21.15,20.55,108.87,132.17,34.26
115.0,9.0,143.0,6.38,46.89,27.99,23.28,101.94,174.91,38.81
74.0,10.0,180.0,7.29,54.2,27.25,19.24,117.84,170.31,32.07
124.0,8.0,143.0,5.61,44.94,28.17,22.56,97.71,176.09,37.6
64.0,9.0,139.0,8.04,57.37,28.28,21.97,124.73,176.73,36.62
73.0,12.0,160.0,7.85,55.24,25.18,21.08,120.08,157.36,35.14
79.0,14.0,144.0,7.7,53.74,24.27,22.18,116.82,151.66,36.96
54.0,10.0,159.0,8.16,59.4,27.41,21.25,129.14,171.34,35.42
110.0,64.0,198.0,47.49,47.6,15.0,18.85,103.47,93.75,31.42
66.0,18.0,130.0,7.95,56.3,23.75,23.2,122.39,148.45,38.67
84.0,9.0,185.0,7.34,53.45,27.42,19.63,116.19,171.39,32.72
82.0,24.0,116.0,7.39,53.28,21.35,23.31,115.82,133.43,38.85
61.0,11.0,198.0,7.86,58.0,27.36,19.51,126.08,171.0,32.52
77.0,11.0,166.0,8.13,54.82,27.09,21.42,119.17,169.31,35.69
66.0,9.0,168.0,7.91,55.89,27.54,21.34,121.5,172.15,35.57
103.0,24.0,139.0,7.38,49.02,19.69,21.89,106.55,123.03,36.48
69.0,10.0,194.0,7.66,57.35,27.71,19.51,124.67,173.2,32.52
74.0,10.0,114.0,7.67,54.27,27.98,24.5,117.98,174.89,40.83
79.0,6.0,18.0,5.7,52.51,29.44,29.4,114.14,183.98,49.01
75.0,7.0,103.0,6.78,53.51,28.07,24.82,116.33,175.45,41.37
69.0,12.0,125.0,7.46,56.22,26.75,23.44,122.22,167.21,39.07
97.0,15.0,113.0,7.72,50.62,25.52,25.14,110.05,159.48,41.9
119.0,17.0,184.0,6.72,46.11,25.04,20.92,100.23,156.47,34.87
68.0,17.0,103.0,7.68,57.37,23.57,23.99,124.72,147.34,39.98
113.0,13.0,169.0,6.44,45.26,25.76,22.11,98.4,161.03,36.84
90.0,27.0,110.0,6.36,52.32,20.05,23.94,113.73,125.3,39.9
95.0,10.0,190.0,6.34,52.25,27.28,20.09,113.59,170.53,33.48
69.0,17.0,194.0,7.95,55.3,23.43,19.85,120.21,146.44,33.08
100.0,18.0,198.0,6.27,49.7,23.9,18.62,108.04,149.37,31.04
54.0,7.0,179.0,4.95,58.6,28.95,20.51,127.39,180.92,34.18
124.0,23.0,184.0,7.33,44.48,21.45,19.91,96.71,134.08,33.18
66.0,10.0,127.0,7.87,56.54,27.38,23.66,122.91,171.14,39.43
125.0,9.0,65.0,5.63,46.14,27.54,27.22,100.31,172.15,45.36
99.0,17.0,19.0,7.78,51.67,24.99,30.46,112.33,156.17,50.76
51.0,9.0,169.0,8.3,59.53,27.16,20.9,129.42,169.75,34.83
85.0,13.0,149.0,6.7,54.52,25.55,21.98,118.53,159.67,36.63
121.0,10.0,124.0,7.36,45.83,27.26,24.11,99.63,170.35,40.18
73.0,11.0,154.0,7.96,56.8,27.33,22.05,123.48,170.8,36.75
124.0,28.0,165.0,6.77,45.13,18.25,21.47,98.1,114.07,35.78
110.0,9.0,118.0,8.3,48.1,26.91,23.59,104.58,168.21,39.31
89.0,14.0,19.0,7.45,52.49,24.23,29.34,114.11,151.42,48.9
125.0,59.0,49.0,6.78,47.54,15.0,27.78,103.35,93.75,46.29
69.0,9.0,180.0,7.71,56.88,27.03,19.89,123.65,168.93,33.15
85.0,9.0,194.0,7.51,52.43,27.47,19.75,113.99,171.68,32.92
85.0,13.0,149.0,6.7,53.78,26.3,22.55,116.9,164.36,37.58
121.0,19.0,169.0,7.42,45.51,22.82,20.78,98.94,142.59,34.64
55.0,13.0,58.0,8.14,58.61,26.04,28.24,127.41,162.74,47.06
95.0,7.0,17.0,5.69,51.73,28.42,30.66,112.45,177.63,51.11
119.0,7.0,117.0,5.78,46.22,29.0,24.1,100.49,181.27,40.17
71.0,9.0,146.0,8.12,56.02,27.99,21.83,121.79,174.91,36.38
103.0,13.0,194.0,7.79,49.41,25.48,20.15,107.42,159.28,33.58
75.0,13.0,194.0,7.7,55.27,25.8,19.33,120.15,161.24,32.22
113.0,17.0,149.0,7.32,47.74,24.73,22.12,103.78,154.54,36.87
51.0,9.0,169.0,8.3,58.25,27.94,20.69,126.63,174.6,34.48
110.0,9.0,118.0,8.3,48.53,26.86,23.48,105.51,167.89,39.13
54.0,8.0,154.0,8.03,58.41,28.54,21.03,126.99,178.4,35.04
110.0,9.0,118.0,8.3,46.85,27.05,24.24,101.84,169.06,40.39
54.0,17.0,162.0,7.84,59.15,24.95,20.89,128.59,155.92,34.81
91.0,9.0,175.0,5.25,51.87,28.31,22.03,112.75,176.97,36.72
99.0,17.0,179.0,6.88,49.65,24.27,19.72,107.92,151.71,32.86
85.0,9.0,194.0,7.51,53.66,27.79,18.73,116.66,173.71,31.22
74.0,10.0,180.0,7.8,54.13,27.12,20.46,117.67,169.53,34.09
74.0,10.0,165.0,8.07,54.87,27.66,21.86,119.29,172.86,36.44
60.0,14.0,155.0,7.65,57.53,25.23,21.73,125.07,157.67,36.22
98.0,7.0,179.0,5.73,50.36,28.74,20.55,109.48,179.63,34.24
79.0,10.0,154.0,7.62,54.42,27.77,20.84,118.31,173.58,34.73
121.0,19.0,169.0,7.42,44.99,22.86,20.52,97.81,142.89,34.2
89.0,14.0,19.0,7.45,52.78,25.08,29.32,114.74,156.75,48.87
125.0,19.0,138.0,7.09,45.05,22.48,21.77,97.94,140.52,36.29
69.0,12.0,125.0,7.46,54.69,25.71,23.56,118.88,160.7,39.26
98.0,15.0,195.0,7.69,48.83,23.9,18.18,106.16,149.39,30.3
75.0,15.0,169.0,7.54,54.99,25.44,20.2,119.54,158.99,33.66
69.0,8.0,199.0,8.08,56.02,29.24,18.79,121.79,182.72,31.32
76.0,13.0,174.0,7.75,54.72,26.76,20.14,118.95,167.22,33.57
64.0,13.0,171.0,7.66,57.18,24.92,20.94,124.3,155.78,34.9
99.0,19.0,195.0,7.24,50.38,23.63,19.45,109.52,147.72,32.42
84.0,10.0,198.0,7.99,53.96,28.1,19.57,117.3,175.65,32.61
68.0,8.0,119.0,5.57,55.51,27.88,24.24,120.68,174.22,40.39
59.0,10.0,166.0,7.78,57.26,27.31,21.61,124.48,170.69,36.02
91.0,9.0,175.0,5.25,50.93,26.5,20.5,110.71,165.6,34.17
103.0,17.0,191.0,7.36,49.63,24.26,19.69,107.89,151.63,32.82
103.0,41.0,194.0,6.49,50.4,15.0,19.62,109.56,93.75,32.69
84.0,17.0,135.0,6.72,52.85,24.22,22.97,114.9,151.37,38.28
79.0,15.0,154.0,7.68,52.2,24.06,21.56,113.48,150.4,35.94
103.0,11.0,150.0,6.85,48.04,27.13,21.83,104.43,169.54,36.39
98.0,7.0,144.0,5.3,49.73,29.21,21.95,108.12,182.59,36.59
53.0,9.0,118.0,8.09,58.95,27.23,24.13,128.16,170.19,40.22
69.0,10.0,194.0,7.66,55.87,26.57,19.31,121.46,166.05,32.19
103.0,15.0,113.0,7.39,49.43,23.71,23.89,107.46,148.16,39.81
54.0,13.0,141.0,7.62,58.95,25.74,22.21,128.15,160.88,37.01
74.0,40.0,169.0,7.47,56.04,15.0,20.25,121.82,93.75,33.76
98.0,15.0,195.0,7.69,49.86,24.07,19.79,108.39,150.43,32.98
124.0,28.0,165.0,6.77,44.51,19.42,21.14,96.76,121.39,35.23
59.0,8.0,125.0,7.76,58.58,27.88,23.07,127.35,174.25,38.45
104.0,23.0,106.0,6.98,47.97,20.75,25.04,104.29,129.72,41.74
96.0,25.0,113.0,7.17,51.11,20.17,23.94,111.11,126.05,39.9
83.0,13.0,157.0,7.93,53.48,26.54,20.88,116.27,165.89,34.79
75.0,10.0,194.0,8.23,54.88,27.61,19.87,119.31,172.57,33.12
113.0,27.0,169.0,6.71,48.67,19.52,20.59,105.81,122.01,34.32
74.0,7.0,184.0,,54.7,28.97,19.76,118.92,181.07,32.93
113.0,22.0,200.0,6.61,49.05,21.15,19.02,106.63,132.21,31.7
58.0,5.0,320.0,8.15,58.22,29.52,15.0,126.56,184.5,25.0
59.0,9.0,194.0,8.62,57.18,27.79,19.37,124.3,173.68,32.28
100.0,15.0,166.0,7.42,50.06,24.72,20.44,108.82,154.49,34.07
97.0,15.0,113.0,7.72,49.74,25.26,24.49,108.13,157.88,40.82
85.0,8.0,175.0,4.77,52.4,27.68,20.26,113.91,173.01,33.76
87.0,14.0,110.0,7.74,52.92,25.76,25.34,115.04,160.97,42.24
115.0,21.0,199.0,7.29,47.44,22.63,19.06,103.14,141.44,31.77
113.0,17.0,174.0,7.04,46.9,22.35,19.44,101.96,139.69,32.4
84.0,10.0,198.0,7.99,53.99,27.96,19.3,117.37,174.78,32.16
83.0,14.0,113.0,7.4,54.33,23.62,25.19,118.1,147.63,41.99
109.0,13.0,185.0,7.03,49.35,25.53,20.69,107.28,159.56,34.48
59.0,9.0,188.0,8.49,58.62,28.32,20.64,127.44,176.97,34.39
104.0,23.0,114.0,7.42,50.29,21.21,23.65,109.33,132.56,39.42
124.0,23.0,184.0,7.33,43.7,20.52,20.42,94.99,128.25,34.03
59.0,8.0,125.0,7.76,57.95,27.49,23.14,125.97,171.84,38.57
59.0,8.0,160.0,8.21,57.51,28.77,21.51,125.01,179.79,35.85
69.0,11.0,174.0,7.98,56.3,25.65,19.92,122.38,160.29,33.21
95.0,13.0,114.0,7.46,50.54,26.58,23.84,109.88,166.11,39.73
71.0,13.0,155.0,7.95,55.67,25.87,21.36,121.02,161.67,35.6
113.0,25.0,194.0,7.14,48.91,19.78,19.81,106.32,123.65,33.02
98.0,14.0,154.0,6.18,50.26,25.1,22.16,109.27,156.88,36.93
99.0,10.0,136.0,5.82,50.53,26.64,22.98,109.85,166.5,38.3
54.0,10.0,149.0,8.0,59.01,27.77,21.38,128.29,173.56,35.64
107.0,13.0,128.0,7.66,48.66,26.34,23.16,105.78,164.62,38.61
54.0,13.0,124.0,7.8,59.2,24.87,23.19,128.71,155.43,38.64
115.0,33.0,103.0,7.46,47.36,16.66,25.25,102.95,104.11,42.09
96.0,15.0,179.0,7.77,51.73,24.48,20.85,112.46,153.01,34.75
65.0,10.0,175.0,5.89,58.32,28.03,21.03,126.78,175.16,35.05
79.0,11.0,144.0,7.49,54.45,25.99,21.98,118.36,162.44,36.64
85.0,15.0,110.0,7.41,53.47,25.96,23.03,116.24,162.27,38.38
99.0,10.0,136.0,5.82,49.28,27.23,21.96,107.13,170.19,36.59
95.0,19.0,131.0,7.47,50.93,22.5,23.85,110.72,140.64,39.75
104.0,21.0,114.0,7.55,49.95,21.89,23.96,108.59,136.84,39.93
104.0,25.0,169.0,6.92,49.89,20.02,20.48,108.46,125.12,34.14
99.0,19.0,195.0,7.24,50.37,22.44,20.12,109.5,140.22,33.54
55.0,8.0,198.0,7.75,59.71,28.21,19.75,129.8,176.29,32.92
63.0,9.0,211.0,7.85,57.79,26.96,18.35,125.64,168.52,30.59
115.0,20.0,113.0,7.29,47.96,21.44,24.07,104.26,134.01,40.12
99.0,21.0,110.0,7.45,50.43,22.07,24.33,109.63,137.95,40.56
98.0,14.0,154.0,6.18,50.12,24.37,21.87,108.95,152.3,36.46
113.0,15.0,176.0,7.04,47.67,24.55,21.24,103.63,153.43,35.4
69.0,8.0,104.0,7.74,53.86,27.6,24.97,117.08,172.53,41.62
103.0,14.0,114.0,7.39,49.71,24.93,24.52,108.06,155.8,40.87
51.0,17.0,163.0,7.17,56.88,25.3,21.8,123.65,158.13,36.34
99.0,25.0,184.0,6.63,48.82,20.53,19.38,106.13,128.34,32.29
63.0,9.0,149.0,8.04,57.76,27.85,22.44,125.57,174.05,37.4
71.0,14.0,103.0,6.18,56.18,24.38,24.67,122.13,152.4,41.12
110.0,12.0,183.0,7.55,47.07,25.96,18.76,102.33,162.24,31.27
83.0,13.0,157.0,7.93,52.83,26.03,20.52,114.85,162.68,34.19
126.0,79.0,160.0,7.31,45.9,15.0,20.89,99.77,93.75,34.82
76.0,10.0,103.0,7.96,54.41,27.79,25.09,118.29,173.72,41.81
59.0,10.0,113.0,8.02,59.99,26.53,24.28,130.42,165.8,40.46
99.0,15.0,125.0,7.34,50.2,24.83,23.59,109.13,155.18,39.32
85.0,14.0,103.0,7.82,53.33,25.1,25.8,115.93,156.86,42.99
108.0,23.0,185.0,7.44,49.69,21.5,19.27,108.03,134.37,32.11
74.0,9.0,48.0,8.12,55.3,27.32,28.11,120.23,170.72,46.84
103.0,17.0,165.0,7.52,48.6,23.94,21.25,105.65,149.61,35.42
86.0,8.0,131.0,5.92,52.71,28.01,22.77,114.59,175.05,37.95
56.0,10.0,169.0,7.81,58.77,26.81,20.87,127.76,167.56,34.79
69.0,8.0,191.0,5.12,55.11,28.44,18.74,119.8,177.76,31.23
87.0,21.0,176.0,6.95,52.4,22.44,21.14,113.9,140.27,35.24
103.0,17.0,165.0,7.52,48.81,24.05,20.76,106.1,150.29,34.6
85.0,15.0,110.0,7.41,53.74,24.74,25.42,116.82,154.64,42.36
113.0,17.0,198.0,7.57,47.43,24.58,19.1,103.1,153.61,31.84
54.0,7.0,179.0,4.95,58.97,28.46,20.77,128.2,177.87,34.62
74.0,10.0,180.0,7.29,55.12,27.07,20.17,119.82,169.16,33.62
103.0,17.0,166.0,7.26,49.58,24.16,21.02,107.78,151.02,35.04
59.0,9.0,194.0,8.62,58.69,28.72,19.07,127.59,179.49,31.78
97.0,9.0,49.0,6.17,49.8,26.9,28.12,108.26,168.1,46.87
60.0,9.0,103.0,8.31,57.17,28.16,24.98,124.28,176.01,41.63
103.0,21.0,198.0,7.03,50.28,21.16,18.73,109.31,132.28,31.21
115.0,14.0,186.0,7.32,46.67,25.58,19.78,101.46,159.88,32.96
124.0,8.0,143.0,5.61,44.07,29.1,22.11,95.8,181.84,36.86
103.0,11.0,150.0,6.85,49.76,27.09,23.15,108.16,169.33,38.58
74.0,9.0,48.0,8.12,55.57,27.8,28.08,120.81,173.76,46.79
109.0,13.0,185.0,7.03,46.98,25.56,20.67,102.12,159.77,34.45
98.0,18.0,171.0,7.18,50.58,23.67,20.64,109.96,147.93,34.4
103.0,25.0,194.0,7.32,49.99,20.35,19.49,108.67,127.18,32.48
66.0,18.0,130.0,7.95,57.1,23.18,22.54,124.13,144.87,37.57
66.0,74.0,138.0,7.62,57.31,15.0,22.5,124.58,93.75,37.49
64.0,15.0,179.0,7.86,56.08,25.12,20.37,121.91,156.99,33.94
81.0,9.0,19.0,5.87,54.06,27.24,30.65,117.53,170.25,51.09
94.0,10.0,125.0,7.13,50.96,26.77,23.61,110.78,167.29,39.35
99.0,17.0,19.0,7.78,49.81,23.28,30.55,108.29,145.52,50.92
79.0,14.0,144.0,7.7,54.9,25.68,22.68,119.34,160.53,37.8
59.0,8.0,125.0,7.76,59.38,28.48,24.31,129.09,177.98,40.52
107.0,13.0,128.0,7.66,50.04,26.04,23.29,108.77,162.74,38.82
103.0,15.0,169.0,6.43,50.45,25.58,22.06,109.68,159.87,36.76
109.0,11.0,164.0,6.9,48.11,26.85,20.92,104.59,167.83,34.86
121.0,35.0,194.0,7.58,46.08,16.24,18.98,100.18,101.47,31.63
94.0,7.0,169.0,7.87,51.81,28.78,20.25,112.64,179.89,33.76
69.0,15.0,160.0,7.73,56.3,24.95,22.57,122.38,155.91,37.61
69.0,10.0,108.0,7.79,56.3,26.93,24.93,122.4,168.32,41.55
54.0,9.0,115.0,8.35,59.86,29.03,23.93,130.13,181.43,39.89
